relabel_priority,trust_score,label,label_error_prob,class_noise_rate
0.12376199748978434,0.0,1,0.4999319412628202,0.2475576919073494
0.12371452031260251,0.0001762731475603,1,0.4998282652900527,0.2475576919073494
0.12369872768055834,0.0002349154404533,1,0.4997937745190809,0.2475576919073494
0.12369777350499928,0.0002384586702196,1,0.4997916905499804,0.2475576919073494
0.12367959729049863,0.0003059567081599,1,0.4997519912262875,0.2475576919073494
0.12364039698302412,0.0004515452591135,1,0.4996663625593418,0.2475576919073494
0.12350341390804274,0.0009604756691048,1,0.4993670324795364,0.2475576919073494
0.12348733038819397,0.0010202488293908,1,0.4993318765829985,0.2475576919073494
0.12327164495073945,0.0018222010600729,1,0.4988602041883103,0.2475576919073494
0.12318647641124167,0.0021390629481503,1,0.4986738402132294,0.2475576919073494
0.12312779674456552,0.0023574386837815,1,0.4985454013833015,0.2475576919073494
0.12310556717144608,0.0024401792963533,1,0.4984967370596964,0.2475576919073494
0.12308399439784594,0.002520482333488,1,0.498449506408821,0.2475576919073494
0.12303718178649131,0.0026947628276495,1,0.4983470024255617,0.2475576919073494
0.12299384160174043,0.0028561450534147,1,0.4982520846262533,0.2475576919073494
0.12298394060429392,0.0028930165337722,1,0.4982303984724271,0.2475576919073494
0.12295653567046262,0.0029950806554048,1,0.4981703689260023,0.2475576919073494
0.12292030895030068,0.0031300170739123,1,0.4980910053664122,0.2475576919073494
0.12278641981103348,0.0036288956139525,1,0.4977975873464397,0.2475576919073494
0.12276565533648445,0.0037062894223512,1,0.4977520677736462,0.2475576919073494
0.12271238124969108,0.0039048835206451,1,0.4976352636170775,0.2475576919073494
0.12270388138391472,0.0039365731149057,1,0.4976166252166345,0.2475576919073494
0.1226611472369125,0.0040959130693836,1,0.4975229085898547,0.2475576919073494
0.12264615395549822,0.0041518240482696,1,0.4974900242554871,0.2475576919073494
0.12260705687349689,0.0042976357298207,1,0.4974042643531147,0.2475576919073494
0.12258556525224462,0.00437779808098,1,0.4973571164474308,0.2475576919073494
0.12257999772672168,0.0043985657278638,1,0.4973449018474049,0.2475576919073494
0.12256628574477042,0.0044497153312734,1,0.497314817940902,0.2475576919073494
0.12247694259609343,0.0047830603706873,1,0.4971187593142379,0.2475576919073494
0.12244152712356444,0.0049152312036441,1,0.4970410223482397,0.2475576919073494
0.12232596345942824,0.0053466478629954,1,0.4967872823858837,0.2475576919073494
0.12232509709469631,0.0053498828980441,1,0.4967853796831167,0.2475576919073494
0.12230127009883446,0.0054388581626211,1,0.4967330484163587,0.2475576919073494
0.12227615592348239,0.0055326493599165,1,0.4966778846336089,0.2475576919073494
0.12224838289129272,0.0056363814440559,1,0.4966168740663207,0.2475576919073494
0.12222190926099176,0.0057352711677949,1,0.4965587115586033,0.2475576919073494
0.12220829648255707,0.0057861245463363,1,0.4965288018783045,0.2475576919073494
0.12214315167723593,0.0060295255372026,1,0.4963856443137526,0.2475576919073494
0.12200705806151677,0.0065382211974237,1,0.4960864523032511,0.2475576919073494
0.12200602056296243,0.0065421002793241,1,0.4960841708009631,0.2475576919073494
0.12196941161243373,0.006678987217632,1,0.496003660032961,0.2475576919073494
0.12184218304495799,0.0071548746972015,1,0.4957237643253329,0.2475576919073494
0.12171602467835173,0.007627002943377,1,0.4954460796304676,0.2475576919073494
0.12170096187522206,0.0076833894013666,1,0.495412915640581,0.2475576919073494
0.12170059279548409,0.007684771066801,1,0.4954121030068364,0.2475576919073494
0.12168233080652134,0.0077531381853961,1,0.4953718925288155,0.2475576919073494
0.12164419893626946,0.0078959082948162,1,0.4952879215429842,0.2475576919073494
0.121507869429592,0.0084065235312089,1,0.4949876005237275,0.2475576919073494
0.12150756026608187,0.0084076818106871,1,0.4949869192756003,0.2475576919073494
0.12148917231973733,0.0084765747883554,1,0.4949463995108178,0.2475576919073494
0.12148900887452391,0.0084771871816153,1,0.4949460393285223,0.2475576919073494
0.12147738123722843,0.0085207544307466,1,0.4949204150233062,0.2475576919073494
0.12136676871266862,0.0089353088260373,1,0.494676592689663,0.2475576919073494
0.12132641825090036,0.0090865812773929,1,0.4945876210069974,0.2475576919073494
0.12131342797611196,0.0091352866739235,1,0.4945589746735415,0.2475576919073494
0.12126472057068961,0.0093179320136932,1,0.4944515508626312,0.2475576919073494
0.12126001749749958,0.0093355697493975,1,0.4944411771362194,0.2475576919073494
0.12119737611521816,0.0095705234721519,1,0.4943029878765446,0.2475576919073494
0.12108097855376922,0.0100072647296238,1,0.4940461162239828,0.2475576919073494
0.12102045819616637,0.0102344286597104,1,0.4939125085715674,0.2475576919073494
0.12100590096804438,0.0102890778170299,1,0.4938803663841473,0.2475576919073494
0.12097228795824924,0.0104152765855612,1,0.4938061419190451,0.2475576919073494
0.12093376768840394,0.0105599208913983,1,0.4937210686147983,0.2475576919073494
0.12091175479328574,0.0106425899825578,1,0.4936724463568857,0.2475576919073494
0.12086552228352539,0.0108162398045719,1,0.4935703133067451,0.2475576919073494
0.1208104247468011,0.011023229854946,1,0.4934485710270915,0.2475576919073494
0.12080207933700522,0.0110545859216196,1,0.4934301287926415,0.2475576919073494
0.12080088623383843,0.0110590688358049,1,0.4934274921432401,0.2475576919073494
0.12079277274656566,0.0110895546848386,1,0.4934095617318419,0.2475576919073494
0.12078357148004683,0.0111241290173417,1,0.4933892266575288,0.2475576919073494
0.12070899317171987,0.0114044099410124,1,0.4932243779677998,0.2475576919073494
0.12069956058717735,0.0114398656977547,1,0.493203524479215,0.2475576919073494
0.12069337627328254,0.0114631124095072,1,0.4931898518042333,0.2475576919073494
0.12065800164089883,0.011596096313462,1,0.4931116366262794,0.2475576919073494
0.1206475942998279,0.0116352243311609,1,0.4930886232782253,0.2475576919073494
0.12060253717267226,0.0118046429507707,1,0.4929889788318869,0.2475576919073494
0.12052650734774842,0.0120905928293372,1,0.4928207959167157,0.2475576919073494
0.12040060726056379,0.0125643029474744,1,0.4925421808355907,0.2475576919073494
0.12039064061920035,0.0126018138151718,1,0.4925201186227597,0.2475576919073494
0.12036892538529673,0.012683547517364,1,0.4924720465187555,0.2475576919073494
0.12028300770600295,0.0130070038408808,1,0.4922818039920149,0.2475576919073494
0.12013650192361983,0.0135588223858827,1,0.4919572490315118,0.2475576919073494
